codigo,nombre,categoria,tecnologia,estado,municipio,latitud,longitud,area_hidrografica,zona_hidrografica,subzona_hidrografica,fecha_instalacion,fecha_suspension
0021205710,JARDIN BOTANICO [21205710],Climatológica Principal,"Automática con Telemetría, Convencional",Activa,"Bogotá, D.C",4.667867,-74.101034,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/09/1974,
0021201210,EL HATO [21201210],Pluviométrica,Convencional,Suspendida,Tenjo,4.866388889,-74.15386111,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/06/1978,28/05/2025
0021200180,EDIFICIO VIRREY SO  [21200180],Pluviométrica,Convencional,Suspendida,"Bogotá, D.C",4.6,-74.06666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/03/1941,15/04/1949
0021201130,ALMAVIVA  [21201130],Pluviométrica,Convencional,Activa,Chía,4.866666667,-74.01666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/04/1973,
0021200690,TESORO-VERTIENTES  [21200690],Pluviométrica,Convencional,Activa,Facatativá,4.8,-74.31666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/08/1931,
0021201570,ESCUELA COL INGENIERIA [21201570],Pluviométrica,Convencional,Suspendida,"Bogotá, D.C",4.783333333,-74.05,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/11/1981,15/04/1986
0021205020,BELKIS-MADRID  [21205020],Climatológica Ordinaria,Convencional,Suspendida,Madrid,4.8,-74.21666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/07/1925,15/02/1948
0021200740,ZIPAQUIRA  [21200740],Pluviográfica,Convencional,Activa,Zipaquirá,5.016666667,-74,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/02/1960,
0021200580,HORMONA-LAB  [21200580],Pluviométrica,Convencional,Activa,"Bogotá, D.C",4.683333333,-74.06666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/04/1957,
0021206750,SAN BERNARDINO  [21206750],Climatológica Principal,Convencional,Activa,"Bogotá, D.C",4.616666667,-74.21666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/02/2004,
0021206060,CASABLANCA [21206060],Meteorológica Especial,Convencional,Activa,Madrid,4.717111111,-74.25333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/09/1976,
0021202190,JUAN REY - AUT [21202190],Climatológica Ordinaria,Automática con Telemetría,Activa,"Bogotá, D.C",4.51872,-74.08867,Magdalena Cauca,Alto Magdalena,Río Bogotá,01/02/2007,
0021202220,PARAISO - AUT [21202220],Climatológica Ordinaria,Automática con Telemetría,Activa,"Bogotá, D.C",4.62789,-74.0587,Magdalena Cauca,Alto Magdalena,Río Bogotá,01/10/2000,
0021201040,TOCANCIPA  [21201040],Pluviométrica,Convencional,Activa,Tocancipá,4.966666667,-73.91666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/11/1970,
0021200450,ZUQUE EL  [21200450],Pluviométrica,Convencional,Suspendida,"Bogotá, D.C",4.55,-74.08333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/02/1952,15/10/1958
0021201750,CHARQUITO  [21201750],Pluviométrica,Convencional,Activa,Soacha,4.55,-74.28333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1988,
0021200300,SUBA-TIBABUYES  [21200300],Pluviométrica,Convencional,Suspendida,"Bogotá, D.C",4.733333333,-74.08333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/09/1947,15/02/1960
0021201140,LA ESPERANZA [21201140],Pluviométrica,Convencional,Suspendida,Tenjo,4.802166667,-74.17997222,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/07/1974,30/05/2025
0021201110,USAQUEN  [21201110],Pluviométrica,Convencional,Activa,"Bogotá, D.C",4.683333333,-74.01666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/06/1955,
0021205230,OBS MET NACIONAL [21205230],Climatológica Principal,Convencional,Suspendida,"Bogotá, D.C",4.633333333,-74.1,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/03/1941,15/11/1993
0021206910,UNIV ANTON. NARIÑO  [21206910],Climatológica Ordinaria,Convencional,Activa,"Bogotá, D.C",4.633333333,-74.05,Magdalena Cauca,Alto Magdalena,Río Bogotá,04/02/2007,
0021205310,CARO LA  [21205310],Climatológica Ordinaria,Convencional,Suspendida,Chía,4.866666667,-74.03333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1947,15/01/1955
0021202180,QUIBA  - AUT  [21202180],Climatológica Ordinaria,Automática con Telemetría,Activa,"Bogotá, D.C",4.54311,-74.15601,Magdalena Cauca,Alto Magdalena,Río Bogotá,01/10/2000,
0021200440,PRADERA LA  [21200440],Pluviométrica,Convencional,Activa,Subachoque,5,-74.13333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/09/1951,
0021206510,CASD [21206510],Climatológica Principal,Convencional,Suspendida,"Bogotá, D.C",4.6,-74.08333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/12/1995,15/08/2002
0021201060,PANTANO REDONDO 1 [21201060],Pluviográfica,Convencional,Activa,Zipaquirá,5.04325,-74.03338889,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1951,
0021201980,GUADALUPE - AUT [21201980],Climatológica Ordinaria,Automática con Telemetría,Activa,"Bogotá, D.C",4.59157,-74.05471,Magdalena Cauca,Alto Magdalena,Río Bogotá,01/09/2007,
0021205930,VILLA ROSA [21205930],Meteorológica Especial,Convencional,Suspendida,Cota,4.833333333,-74.1,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/09/1976,15/09/1992
0021201450,UNIV JAVERIANA  [21201450],Pluviográfica,Convencional,Suspendida,"Bogotá, D.C",4.65,-74.06666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/07/1938,15/08/1953
0021201050,LOURDES [21201050],Pluviométrica,Convencional,Activa,Gachancipá,4.982888889,-73.86466667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/03/1985,
0021200370,PANTANO REDONDO 3  [21200370],Pluviográfica,Convencional,Activa,Zipaquirá,5.033333333,-74.03333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1951,
0021206830,DELIRIO EL  [21206830],Climatológica Principal,Convencional,Activa,"Bogotá, D.C",4.566666667,-74.06666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/02/2004,
0021200210,STA TERESA HDA  [21200210],Pluviométrica,Convencional,Suspendida,Gachancipá,5,-73.88333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/04/1942,15/11/1950
0021200130,DELIRIO  [21200130],Pluviométrica,Convencional,Activa,"Bogotá, D.C",4.55,-74.05,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/05/1933,
0021205690,CAMAVIEJA  [21205690],Climatológica Ordinaria,Convencional,Activa,"Bogotá, D.C",4.616666667,-74.1,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/11/1957,
0021205270,SAN BARTOLOME  [21205270],Climatológica Ordinaria,Convencional,Suspendida,"Bogotá, D.C",4.616666667,-74.06666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1923,15/12/1941
0035020400,ANGULO EL  [35020400],Pluviométrica,Convencional,Activa,La Calera,4.783333333,-73.86666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/02/1967,
0021200410,ROSAL EL  [21200410],Pluviométrica,Convencional,Suspendida,Subachoque,4.866666667,-74.26666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/07/1951,15/12/1969
0021201630,GRANJA TABIO [21201630],Pluviográfica,Convencional,Activa,Tabio,4.933055556,-74.06561111,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/05/1987,
0021200750,BOJACA  [21200750],Pluviométrica,Convencional,Activa,Bojacá,4.733333333,-74.33333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/03/1960,
0021205860,CORZO EL [21205860],Meteorológica Especial,Convencional,Suspendida,"Bogotá, D.C",4.65,-74.2,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/09/1976,15/02/1992
0021206490,HATO ALTO [21206490],Meteorológica Especial,Convencional,Suspendida,Tenjo,4.835083333,-74.13991667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/08/1993,31/12/2012
0021200110,SAN RAFAEL 1  [21200110],Pluviométrica,Convencional,Activa,La Calera,4.7,-73.98333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/05/1933,
0021205370,PANTANO REDONDO  [21205370],Climatológica Ordinaria,Convencional,Activa,Zipaquirá,5.033333333,-74.03333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1957,
0021205960,TACHI [21205960],Meteorológica Especial,Convencional,Activa,Subachoque,4.939055556,-74.15258333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/02/1977,
0021201260,PORVENIR EL  [21201260],Pluviométrica,Convencional,Activa,El Colegio,4.55,-74.31666667,Magdalena Cauca,Alto Magdalena,Río Sumapaz,15/02/1952,
0021200540,MERCED LA  [21200540],Pluviométrica,Convencional,Suspendida,Bojacá,4.633333333,-74.31666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/11/1956,15/09/1969
0021201070,EL CORAZON [21201070],Pluviométrica,Convencional,Activa,Facatativá,4.865361111,-74.28941667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/07/1974,
0021200640,MONSERRATE  [21200640],Pluviométrica,Convencional,Suspendida,"Bogotá, D.C",4.6,-74.06666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1958,15/10/1960
0021201390,MADRID  [21201390],Pluviométrica,Convencional,Suspendida,Madrid,4.733333333,-74.3,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/04/1965,15/10/1980
0021206570,AEROPUERTO CATAM [21206570],Climatológica Principal,Convencional,Suspendida,"Bogotá, D.C",4.705583333,-74.15066667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/2001,03/05/2019
0035035040,CHINGAZA  [35035040],Climatológica Ordinaria,Convencional,Activa,Fómeque,4.483333333,-73.9,Orinoco,Meta,Río Guayuriba,15/01/1968,
0021201960,SALITRE CASA BOMBA  [21201960],Pluviográfica,Convencional,Activa,"Bogotá, D.C",4.666666667,-74.06666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1975,
0021202050,QUIBA  [21202050],Pluviográfica,Convencional,Activa,"Bogotá, D.C",4.533333333,-74.16666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1990,
0021205750,REP LOS MUCHACHOS [21205750],Climatológica Ordinaria,Convencional,Suspendida,Funza,4.733333333,-74.16666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/05/1976,15/06/1985
0021200020,COCLI EL  [21200020],Pluviométrica,Convencional,Suspendida,Funza,4.7,-74.21666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/05/1986,15/02/1906
0021206650,COLEGIO SAN CAYETANO [21206650],Climatológica Ordinaria,Convencional,Activa,"Bogotá, D.C",4.516752778,-74.088222222,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/11/2001,
0021205519,SAN FORTUNATO  - AUT  [21205519],Climatológica Principal,Automática con Telemetría,Activa,Sibaté,4.452111111,-74.27228806,Magdalena Cauca,Alto Magdalena,Río Bogotá,,
0023065160,EL ACOMODO [23065160],Climatológica Principal,Convencional,Activa,La Vega,5.016666667,-74.33333333,Magdalena Cauca,Medio Magdalena,Río Negro,15/06/2000,
0021200240,VERJON EL  [21200240],Pluviométrica,Convencional,Activa,"Bogotá, D.C",4.583333333,-74.01666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/02/1946,
0021205013,UNISALLE NORTE [21205013],Climatológica Ordinaria,Convencional,Suspendida,"Bogotá, D.C",4.794444444,-74.03055556,Magdalena Cauca,Alto Magdalena,Río Bogotá,14/12/2009,07/11/2012
0021200560,FONTIBON  [21200560],Pluviométrica,Convencional,Suspendida,"Bogotá, D.C",4.7,-74.15,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1957,15/10/1959
0021205420,TIBAITATA [21205420],Agrometeorológica,"Automática con Telemetría, Convencional",Activa,Mosquera,4.688662,-74.205626,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/03/1954,
0021206210,FLORES COLOMBIANAS [21206210],Meteorológica Especial,Convencional,Suspendida,Funza,4.73625,-74.15733333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/07/1986,15/02/2013
0021205950,TIBACHOQUE HACIENDA [21205950],Meteorológica Especial,Convencional,Suspendida,Funza,4.759055556,-74.20516667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/02/1977,10/12/2008
0021206150,MOLINOS DEL NORTE [21206150],Climatológica Principal,Convencional,Suspendida,"Bogotá, D.C",4.7,-74.05,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/10/1983,15/04/1986
0021202000,SIMAYA  [21202000],Pluviométrica,Convencional,Activa,La Calera,4.716666667,-73.88333333,Orinoco,Meta,Río Guayuriba,15/01/1987,
0021200480,AV JIMENEZ  [21200480],Pluviométrica,Convencional,Suspendida,"Bogotá, D.C",4.6,-74.06666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1955,15/07/1971
0021206280,ACAPULCO [21206280],Climatológica Principal,"Automática con Telemetría, Convencional",Activa,Bojacá,4.64823,-74.32035,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/02/1990,
0021201270,TIBAR EL [21201270],Pluviométrica,Convencional,Suspendida,Madrid,4.816666667,-74.23333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/12/1980,15/02/2002
0021200650,CONTADOR  [21200650],Pluviométrica,Convencional,Activa,"Bogotá, D.C",4.7,-74.03333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1958,
0021206860,MONTEBLANCO  [21206860],Climatológica Principal,Convencional,Activa,"Bogotá, D.C",4.483333333,-74.11666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/02/2004,
0021205140,MOSQUERA  [21205140],Climatológica Ordinaria,Convencional,Suspendida,Mosquera,4.716666667,-74.23333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/09/1936,15/11/1950
0021205640,ALBANIA  [21205640],Climatológica Ordinaria,Convencional,Suspendida,Sopó,4.833333333,-73.95,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1958,15/01/1964
0021201030,STA TERESA  [21201030],Pluviográfica,Convencional,Activa,La Calera,4.666666667,-73.93333333,Orinoco,Meta,Río Guayuriba,15/09/1970,
0021200670,CORTIJO EL  [21200670],Pluviométrica,Convencional,Suspendida,"Bogotá, D.C",4.733333333,-74.13333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/04/1958,15/10/1960
0021206770,PONTON SAN JOSE  [21206770],Climatológica Principal,Convencional,Activa,"Bogotá, D.C",4.616666667,-74.2,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/08/2003,
0021205160,RAMADA LA  [21205160],Climatológica Ordinaria,Convencional,Activa,Funza,4.716666667,-74.18333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/12/1937,
0021205430,CORZO STA TECLA  [21205430],Climatológica Ordinaria,Convencional,Suspendida,Facatativá,4.766666667,-74.33333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1958,15/11/1967
0021205800,BOMBEROS DEL NORTE [21205800],Meteorológica Especial,Convencional,Suspendida,"Bogotá, D.C",4.65,-74.06666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/11/1972,15/11/1983
0021205170,PORVENIR EL  [21205170],Climatológica Ordinaria,Convencional,Suspendida,"Bogotá, D.C",4.7,-74.03333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/02/1939,15/02/1944
0021200790,LAGUNA LA  [21200790],Pluviométrica,Convencional,Suspendida,"Bogotá, D.C",4.65,-74.13333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/07/1960,15/12/1995
0021205517,PARQUE SOPO  - AUT  [21205517],Climatológica Principal,Automática con Telemetría,Activa,Sopó,4.788157222,-74.05005889,Magdalena Cauca,Alto Magdalena,Río Bogotá,,
